#6-pulse DQC,,,,,,,,,,
#Step,Phi_1,Phi_2,Phi_3,Phi_4,Phi_5,Phi_6,Phi_a,Phi_b,Phi_c,Phi_d
1,0,0,0,0,0,0,0,0,0,0
2,90,90,90,0,0,0,180,180,180,180
3,180,180,180,0,0,0,0,0,0,0
4,270,270,270,0,0,0,180,180,180,180
5,0,0,0,90,0,0,0,0,0,0
6,90,90,90,90,0,0,180,180,180,180
7,180,180,180,90,0,0,0,0,0,0
8,270,270,270,90,0,0,180,180,180,180
9,0,0,0,180,0,0,0,0,0,0
10,90,90,90,180,0,0,180,180,180,180
11,180,180,180,180,0,0,0,0,0,0
12,270,270,270,180,0,0,180,180,180,180
13,0,0,0,270,0,0,0,0,0,0
14,90,90,90,270,0,0,180,180,180,180
15,180,180,180,270,0,0,0,0,0,0
16,270,270,270,270,0,0,180,180,180,180
17,0,0,0,0,180,0,180,180,180,180
18,90,90,90,0,180,0,0,0,0,0
19,180,180,180,0,180,0,180,180,180,180
20,270,270,270,0,180,0,0,0,0,0
21,0,0,0,90,180,0,180,180,180,180
22,90,90,90,90,180,0,0,0,0,0
23,180,180,180,90,180,0,180,180,180,180
24,270,270,270,90,180,0,0,0,0,0
25,0,0,0,180,180,0,180,180,180,180
26,90,90,90,180,180,0,0,0,0,0
27,180,180,180,180,180,0,180,180,180,180
28,270,270,270,180,180,0,0,0,0,0
29,0,0,0,270,180,0,180,180,180,180
30,90,90,90,270,180,0,0,0,0,0
31,180,180,180,270,180,0,180,180,180,180
32,270,270,270,270,180,0,0,0,0,0
33,0,0,0,0,90,0,270,270,270,270
34,90,90,90,0,90,0,90,90,90,90
35,180,180,180,0,90,0,270,270,270,270
36,270,270,270,0,90,0,90,90,90,90
37,0,0,0,90,90,0,270,270,270,270
38,90,90,90,90,90,0,90,90,90,90
39,180,180,180,90,90,0,270,270,270,270
40,270,270,270,90,90,0,90,90,90,90
41,0,0,0,180,90,0,270,270,270,270
42,90,90,90,180,90,0,90,90,90,90
43,180,180,180,180,90,0,270,270,270,270
44,270,270,270,180,90,0,90,90,90,90
45,0,0,0,270,90,0,270,270,270,270
46,90,90,90,270,90,0,90,90,90,90
47,180,180,180,270,90,0,270,270,270,270
48,270,270,270,270,90,0,90,90,90,90
49,0,0,0,0,270,0,90,90,90,90
50,90,90,90,0,270,0,270,270,270,270
51,180,180,180,0,270,0,90,90,90,90
52,270,270,270,0,270,0,270,270,270,270
53,0,0,0,90,270,0,90,90,90,90
54,90,90,90,90,270,0,270,270,270,270
55,180,180,180,90,270,0,90,90,90,90
56,270,270,270,90,270,0,270,270,270,270
57,0,0,0,180,270,0,90,90,90,90
58,90,90,90,180,270,0,270,270,270,270
59,180,180,180,180,270,0,90,90,90,90
60,270,270,270,180,270,0,270,270,270,270
61,0,0,0,270,270,0,90,90,90,90
62,90,90,90,270,270,0,270,270,270,270
63,180,180,180,270,270,0,90,90,90,90
